Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3L (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,,"b'2021, January 12'","b'Coming soon. Exp. release 2021, March'",b'165.6 x 75.6 x 8.7 mm (6.52 x 2.98 x 0.34 in)',b'194 g (6.84 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 11',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'microSDXC (only single sim model)',b'64GB 4GB RAM',"b'8 MP, f/2.0, 26mm (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Jewelry Blue, Jewelry Black'",b'About 150 EUR',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,b'Charging 10W',,,,,,,,"b'Glass front, plastic back, plastic frame'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1S (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,,"b'2021, January 12'","b'Coming soon. Exp. release 2021, Februrary'",b'165.6 x 75.6 x 8.8 mm (6.52 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 11',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',"b'5 MP, f/2.2, 27mm (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Elegant Black, Twilight Blue'",b'About 110 EUR',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,b'Charging 10W',,,,,,,,"b'Glass front, plastic back, plastic frame'","b'13 MP, f/2.0, 27mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1L (2021)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-2021-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,,"b'2021, January 12'","b'Coming soon. Exp. release 2021, March'",b'-',b'-',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.1 inches, 89.8 cm2'","b'720 x 1600 pixels, 20:9 ratio (~288 ppi density)'",b'Android 11',,,b'microSDXC (uses shared SIM slot)',b'32GB 2GB RAM',b'Unspecified',b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'Unspecified',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Blue'",b'About 110 EUR',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",,"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,,,,,,,,,"b'Glass front, plastic back, plastic frame'",,"b'13 MP, 27mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1SE (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-se-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, October 28'","b'Available. Released 2020, October 28'",b'159.2 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in)',b'175 g (6.17 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~80.7% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 128GB 4GB RAM'","b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Agate Greeen, Power Gray'",b'\xe2\x82\xac\xe2\x80\x89102.22 / \xc2\xa3\xe2\x80\x8989.79',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20, 28'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'IMG8322',"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,,"b'5030F, 5030U'",,,,,,,"b'Glass front, plastic frame, plastic back'","b'13 MP, f/2.2, (wide), 1/3.06"", 1.12\xc2\xb5m, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth)'",,b'\xe2\x82\xac\xe2\x80\x89102.22',,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel Go Flip 3',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip3.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,,"b'2019, September 19'","b'Available. Released 2019, September 19'",b'104.9 x 53.1 x 20.1 mm (4.13 x 2.09 x 0.79 in)',b'118 g (4.16 oz)',b'Nano-SIM',b'CDMA 800 / 1900',b'TN TFT',"b'2.8 inches, 24.3 cm2 (~43.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS 2.5',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',b'2 MP',b'720p@30fps',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 1350 mAh, removable'",,b'Prime Black',b'About 80 EUR',b'HSDPA 850 / 1700(AWS) / 1900',"b'2, 4, 5, 12, 25, 26, 41, 66, 71'","b'HSPA, LTE'",b'Adreno 304',,"b'Second external TN TFT display, 1.44 inches, 128 x 128 pixels'",,b'',,,,,,,,,,,,,,b'1.28 W/kg (head) \xc2\xa0 \xc2\xa0 1.16 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel Go Flip V',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 1900',,,"b'2019, July 11'","b'Available. Released 2019, July 11'",b'104.9 x 52.8 x 18.7 mm (4.13 x 2.08 x 0.74 in)',b'118 g (4.16 oz)',b'Nano-SIM',"b'Second external TN TFT display, 1.44 inches, 128 x 128 pixels'",b'TN TFT',"b'2.8 inches, 24.3 cm2 (~43.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS 2.5',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',b'2 MP',b'720p@30fps',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 1350 mAh, removable'",,b'Black',b'About 80 EUR',b'HSDPA 850 / 1700(AWS) / 1900',"b'2, 4, 5, 13'","b'HSPA, LTE'",b'Adreno 304',,b'',,,,,,,,,,,,,,,,b'1.08 W/kg (head) \xc2\xa0 \xc2\xa0 1.32 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3X (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, June'","b'Available. Released 2020, June'",b'165 x 75 x 9.1 mm (6.50 x 2.95 x 0.36 in)',b'186 g (6.56 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'","b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Black, Blue'",b'\xe2\x82\xac\xe2\x80\x89169.99 / \xc2\xa3\xe2\x80\x89144.90',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'Dual-LED dual-tone flash, HDR, panorama'",,,,,,,,,,,,,b'5061U',,,,,,,"b'Glass front, plastic back, plastic frame'",,,,"b'16 MP, f/1.8, (wide), 1/2.8"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'\xe2\x82\xac\xe2\x80\x89169.99',b'\xc2\xa3\xe2\x80\x89212.43',b'\xe2\x82\xac\xe2\x80\x89186.43',,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3L (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',"b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Chameleon Blue, Dark Chrome, Agate Green'",b'\xe2\x82\xac\xe2\x80\x89121.68 / \xc2\xa3\xe2\x80\x8999.99',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,b'Charging 10W',"b'5029Y, 5029, 5029D'",,,,,,,"b'Glass front, plastic back, plastic frame'","b'48 MP, f/1.8, (wide), 1/2.25"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (ultrawide/depth sensor), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,,,b'\xe2\x82\xac\xe2\x80\x89121.68',,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1S (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Agate Green, Power Grey'",b'$\xe2\x80\x89114.99 / \xe2\x82\xac\xe2\x80\x8992.90 / \xc2\xa3\xe2\x80\x8987.49',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,,,,,,,,,,,,"b'5028Y, 5028D, 5028D_EEA'",,,,,,,"b'Glass front, plastic back, plastic frame'","b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF 5 MP, f/2.2, (ultrawide/depth sensor), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,b'$\xe2\x80\x89114.99',,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1V (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in)',b'160 g (5.64 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5007G, 5007A'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 2GB RAM',"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Prime Black, Pine Green, Metallic Black, Agate Green'",b'$\xe2\x80\x8997.99 / \xe2\x82\xac\xe2\x80\x8979.90 / \xc2\xa3\xe2\x80\x8981.75',b'HSDPA 850 / 900 / 1900 / 2100 - 5007U',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'","b'2, 3, 4, 5, 7, 8, 13, 17, 28, 66 - 5007G, 5007A'",,b'eMMC 5.1',,,,,,,,,,"b'5007U, 5007G, 5007A'",,,,,,,"b'Glass front, plastic back, plastic frame'",,"b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF 5 MP, f/2.4, (depth)'",,,,,,b'$\xe2\x80\x8997.99',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
