Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages,5G bands,256GB 6GB RAM,512GB 6GB RAM,Dual_1,256GB 4GB RAM,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,512GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Oxygen 68XL',b'https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, February'","b'Available. Released 2019, May'",b'173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in)',b'214 g (7.55 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.85 inches, 117.1 cm2 (~82.7% screen-to-body ratio)'","b'640 x 1352 pixels, 19:9 ratio (~218 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',b'5 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 5000 mAh, non-removable'",,b'Dark Blue',b'About 150 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE-A'",b'PowerVR GE8320',b'LED flash',,,,,,,,,,,,,,,,,,,,,,"b'8 MP, AF 0.3 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Oxygen 63',b'https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, February'","b'Available. Released 2019, May'",b'159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in)',b'162 g (5.71 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.26 inches, 97.8 cm2 (~81.1% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~269 ppi density)'",b'Android 9.0 (Pie)',b'Unisoc SC9863 (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'microSD',b'64GB 4GB RAM',b'5 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, removable'",,b'Dark Blue',b'About 130 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'",b'IMG8322',b'LED flash',,,,,,,,,,,,,,,,,,,,,,"b'8 MP, AF 0.3 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Oxygen 57',b'https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, February'","b'Available. Released 2019, May'",b'147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.71 inches, 81.4 cm2 (~77.9% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Unisoc SC9863 (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'microSD',b'32GB 3GB RAM',b'5 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 2800 mAh, removable'",,b'Dark Violet',b'About 100 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'",b'IMG8322',b'LED flash',,,,,,,,,,,,,,,,,,,,,,"b'8 MP, AF 0.3 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Saphir 50X',b'https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, April'","b'Available. Released 2018, April'",b'146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in)',b'210 g (7.41 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IP68 dust/water resistant (up to 1m for 30 mins)',b'S-IPS LCD',"b'5.0 inches, 68.9 cm2 (~61.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737VWT',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC',b'16GB 2GB RAM',"b'8 MP, AF'",b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,b'Black',b'About 150 EUR',b'HSDPA 850 / 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'Mali-T720MP2',b'LED flash',b'eMMC 5.0',,,,,,,,,,b'Corning Gorilla Glass 4',,,,b'0.55 W/kg (head) \xc2\xa0 \xc2\xa0 0.80 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Diamond Omega',b'https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, October'","b'Available. Released 2017, November'",b'147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'32-bit/384kHz audio',b'LTPS IPS LCD',"b'5.73 inches, 87.6 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2040 pixels, 17:9 ratio (~403 ppi density)'","b'Android 7.1 (Nougat), nubia UI 5'",b'Qualcomm MSM8998 Snapdragon 835 (10 nm)',b'Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo)',b'No',b'128GB 8GB RAM',"b'5 MP, f/2.2 5 MP'","b'4K@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3100 mAh, non-removable'",,b'Dark Blue',b'About 300 EUR',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'",b'Adreno 540',"b'Dual-LED dual-tone flash, HDR, panorama'",,,,,b'GeekBench: 6689 (v4.4)GFXBench: 23fps (ES 3.1 onscreen)',,b'Photo / Video',b'Voice 76dB / Noise 73dB / Ring 87dB',,b'Endurance rating 74h',b'Corning Gorilla Glass (unspecified version)',b'Fast charging 18W Quick Charge 3.0',,,,,,,,"b'Glass front (Gorilla Glass), glass back, aluminum frame'",,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF 23 MP, f/2.0, PDAF, 2x lossless zoom'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Diamond Alpha +',b'https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, August'","b'Available. Released 2017, October'",b'146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in)',b'155 g (5.47 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8976 Pro Snapdragon 653 (28 nm)',b'Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',"b'13 MP, 1/2.9"", 1.25\xc2\xb5m, AF 13 MP B/W'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'4K@30fps, 1080p@30fps'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Gold'",b'About 400 EUR',b'HSDPA 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'Adreno 510',"b'LED flash, HDR, panorama'",,,,,,,,,,,b'Corning Gorilla Glass (unspecified version)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Diamond Tab',b'https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,,"b'2017, August'","b'Available. Released 2017, October'",b'255 x 163 x 8 mm (10.04 x 6.42 x 0.31 in)',b'510 g (1.12 lb)',b'Micro-SIM',,b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~71.2% screen-to-body ratio)'","b'1600 x 2560 pixels, 16:10 ratio (~299 ppi density)'",b'Android 7.0 (Nougat)',b'Rockchip RK3399',b'Dual-core Cortex-A72 & quad-core Cortex-A53',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',"b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 6600 mAh, non-removable'",,b'Black',b'About 300 EUR',b'HSDPA 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'",b'Mali-T860MP4',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Diamond Alpha',b'https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, June'","b'Available. Released 2017, July'",b'146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in)',b'155 g (5.47 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8976 Snapdragon 652 (28 nm)',b'Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',"b'13 MP, 1/2.9"", 1.25\xc2\xb5m, AF 13 MP B/W'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 2950 mAh, non-removable'",b'Up to 11 h (3G)',b'Black',b'About 350 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'Adreno 510',"b'LED flash, HDR, panorama'",,,,b'Up to 320 h (3G)',,,,,,,,,,,b'1.02 W/kg (head) \xc2\xa0 \xc2\xa0 0.76 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'archos',b'Archos Sense 55s',b'https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, June'","b'Available. Released 2017, July'",b'142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in)',b'130 g (4.59 oz)',b'Dual SIM',b'Yes',b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~70.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 7.0 (Nougat)',,,b'microSDXC',b'16GB 2GB RAM',"b'8 MP, AF'",b'1080p@30fps',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,b'Black',b'About 250 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",,b'Dual-LED dual-tone flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
