Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection,Camera,Loudspeaker_1,Audio quality,Dual_1
b'energizer',b'Energizer Energy E220s',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e220s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSPA',"b'2019, February'","b'Available. Released 2019, July'",b'119 x 59 x 16.5 mm (4.69 x 2.32 x 0.65 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'TFT, 16M colors'","b'2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'KaiOS',b'Spreadtrum SC9820E',b'Dual-core (2x1.3 GHz Cortex-A7)',b'microSDHC',b'512MB 256MB RAM',b'0.3 MP',,b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',"b'Black, Dark blue'",,,,,b'No',,,,,,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E220',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e220.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSPA',"b'2019, February'","b'Available. Released 2019, July'",b'119 x 59 x 16.5 mm (4.69 x 2.32 x 0.65 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'TFT, 16M colors'","b'2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'KaiOS',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'microSDHC',b'512MB 256MB RAM',b'0.3 MP',,b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',"b'Black, Dark blue'",,b'Mali-400',,,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P490S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, June'","b'Available. Released 2018, August'",b'139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in)',b'139 g (4.90 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'4.95 inches, 63.2 cm2 (~69.1% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~217 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6739WA (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,"b'Dual-LED dual-tone flash, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",b'Black',,b'Mali-T720MP2',,,b'eMMC 5.1',b'LED flash',b'About 130 EUR',b'Up to 400 h (3G)',b'Up to 16 h (3G)',,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 38, 40'",,,,,,"b'8 MP, AF 0.3 MP, (depth)'",,,,,,"b'5 MP VGA, depth sensor'"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P490',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 42.2/5.76 Mbps',"b'2018, June'","b'Available. Released 2018, August'",b'139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in)',b'139 g (4.90 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'4.95 inches, 63.2 cm2 (~69.1% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~217 ppi density)'",b'Android 8.0 (Oreo Go)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'Dual-LED dual-tone flash',b'720p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",b'Black',,b'Mali-400 MP2',,,,b'LED flash',b'About 90 EUR',b'Up to 400 h (3G)',b'Up to 10 h (3G)',,,,,,,,,,,,,,,,,,,,,,"b'8 MP, AF 0.3 MP, (depth)'",,,,,,"b'5 MP VGA, depth sensor'"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H500S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h500s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, February'","b'Available. Released 2018, February'",b'145.4 x 75 x 10.3 mm (5.72 x 2.95 x 0.41 in)',b'142.5 g (5.04 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~63.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',"b'13 MP, AF'",b'LED flash',b'720p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",b'Black',,b'Mali-T720',,,b'IP68 dust/water resistant (up to 1.5m for 30 mins)',,b'About 230 EUR',b'Up to 300 h (3G)',b'Up to 13 h (3G)',,,,,,b'eMMC 5.0',,b'0.44 W/kg (head) \xc2\xa0 \xc2\xa0 1.65 W/kg (body)',,,,,,,,"b'1, 3, 7, 8, 20, 40'",,,,,,,,b'Corning Gorilla Glass 3',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E500S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in)',b'127 g (4.48 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 8.0 (Oreo)',b'Mediatek MT6737M (28 nm)',b'Quad-core 1.1 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'8GB 1GB RAM',b'8 MP',b'LED flash',b'720p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",b'Black',,b'Mali-T720MP2',,,b'eMMC 5.0',,b'About 100 EUR',b'Up to 200 h (3G)',b'Up to 12 h (3G)',,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E500',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 42.2/11.5 Mbps',"b'2018, August'","b'Available. Released 2018, August'",b'139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in)',b'127 g (4.48 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android Go',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'microSDHC (uses shared SIM slot)',b'8GB 1GB RAM',b'5 MP',b'LED flash',b'480p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",b'Black',,b'Mali-400MP2',,,,,b'About 70 EUR',b'Up to 200 h (3G)',b'Up to 12 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E11',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e10-.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, July'","b'Available. Released 2018, July'",b'114 x 48 x 25.9 mm (4.49 x 1.89 x 1.02 in)',b'90 g (3.17 oz)',"b'Hybrid Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Mediatek MT6261D',,b'microSDHC',b'4MB 4MB RAM',b'VGA',,b'No',b'VGA',b'',b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 1800 mAh, removable'",b'Black',,,b'Class 12',b'No',b'Flashlight',,b'About 20 EUR',b'Up to 216 h (3G)',b'Up to 12.5 h (3G)',b'Yes',b'Yes',"b'SMS, MMS'",b'No',b'No',,,b'1.03 W/kg (head) \xc2\xa0 \xc2\xa0 1.26 W/kg (body)',,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E10+',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e10-.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, July'","b'Available. Released 2018, July'",b'110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in)',b'69 g (2.43 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~19.7% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Mediatek MT6261D',,b'microSDHC',b'4MB 4MB RAM',b'VGA',,b'No',b'VGA',b'',b'Yes',b'Yes',b'No',b'3.0',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 1000 mAh, removable'",b'Black',,,b'Class 12',b'No',b'Flashlight',,b'About 10 EUR',b'Up to 125 h (3G)',b'Up to 7 h (3G)',b'Yes',b'Yes',b'SMS',b'No',b'No',,,b'0.60 W/kg (head) \xc2\xa0 \xc2\xa0 0.95 W/kg (body)',,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P20',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p20.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, May'","b'Available. Released 2018, August'",b'136.5 x 55 x 17.5 mm (5.37 x 2.17 x 0.69 in)',b'130 g (4.59 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~32.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",,b'Spreadtrum SC6531E',,b'microSDHC (uses shared SIM slot)',b'32MB 32MB RAM',b'VGA',,b'480p',,,b'Yes',b'Yes',b'No',"b'4.0, A2DP, LE'",b'No',b'No',b'FM radio',"b'microUSB 2.0, USB (Reverse charging out)'",b'',b'Li-Ion 4000 mAh battery',b'Black',,,b'Yes',b'No',b'Flashlight',,b'About 40 EUR',b'Up to 750 h (3G)',b'Up to 40 h (3G)',b'Yes',b'Yes',"b'SMS, MMS'",b'No',b'No',b'No',,b'0.61 W/kg (head) \xc2\xa0 \xc2\xa0 0.89 W/kg (body)',,,,,,,,,,,b'Reverse charging',,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P16K Pro',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-p600s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, February'",b'Cancelled',b'-',b'350 g (12.35 oz)',b'Nano-SIM',b'IPS LCD',"b'5.99 inches, 92.6 cm2'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Android 8.0 (Oreo)',b'Mediatek MT6763T Helio P23 (16 nm)',b'Octa-core 2.5 GHz Cortex-A53',b'No',b'128GB 6GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'4K@30fps',,b'1080p@30fps',b'Yes',b'To be confirmed',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 16,000 mAh, non-removable'",b'Black',,b'Mali-G71 MP2',,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,b'LTE (unspecified)',,,b'Fast charging 18W USB Power Delivery 2.0 No Reverse charging',,,"b'16 MP, PDAF 13 MP'",,,,,,"b'13 MP 5 MP, depth sensor'"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H240S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-h240s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, January'","b'Available. Released 2018, January'",b'132 x 56 x 18.5 mm (5.20 x 2.20 x 0.73 in)',b'256 g (9.03 oz)',"b'Hybrid Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~24.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737M (28 nm)',b'Quad-core 1.1 GHz Cortex-A53',b'microSDHC (uses shared SIM slot)',b'8GB 1GB RAM',b'5 MP',b'LED flash',b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",b'Black',,b'Mali-T720MP2',,,b'IP68 dust/water resistant (up to 1.5m for 30 mins)',,b'About 120 EUR',b'Up to 230 h (3G)',b'Up to 5 h (3G)',,,,,,b'eMMC 5.0',b'No',b'0.61 W/kg (head) \xc2\xa0 \xc2\xa0 1.08 W/kg (body)',,,,,,,,"b'1, 3, 7, 20, 28'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H550S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-h550s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, January'","b'Available. Released 2018, January'",b'158.8 x 80.7 x 11.1 mm (6.25 x 3.18 x 0.44 in)',b'203 g (7.16 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.5 inches, 83.4 cm2 (~65.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'microSDHC (uses shared SIM slot)',b'32GB 3GB RAM',"b'16 MP, PDAF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Black',,b'Mali-T860MP2',,,b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant',,b'About 450 EUR',b'Up to 400 h (3G)',b'Up to 10 h (3G)',,,,,,b'eMMC 5.1',,b'0.24 W/kg (head) \xc2\xa0 \xc2\xa0 1.79 W/kg (body)',,,,,,,,"b'1, 3, 7, 8, 20, 28'",,,,,,,,b'Corning Gorilla Glass 3',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P600S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-p600s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, January'","b'Available. Released 2018, January'",b'152.5 x 82 x 9.8 mm (6.00 x 3.23 x 0.39 in)',b'190 g (6.70 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.9 inches, 89.8 cm2 (~71.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~409 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6757CD Helio P25 (16 nm)',b'Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 6GB RAM'",b'8 MP',"b'Dual-LED dual-tone flash, panorama, HDR'",b'4K@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4500 mAh, non-removable'","b'Black (32/3GB), Blue (64/6GB)'",,b'Mali-T880MP2',,,,,b'About 360 EUR',b'Up to 400 h (3G)',b'Up to 12 h (3G)',,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 38, 40'","b'Glass front, plastic back, aluminum frame'",,b'Charging 10W',,,"b'13 MP, PDAF 5 MP, f/2.4, (depth)'",,,,,,
