Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time
b'honor',b'Honor Play4',b'https://fdn2.gsmarena.com/vv/bigpic/honor-play4.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 38, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, June 03'","b'Available. Released 2020, June 13'",b'170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in)',b'213 g (7.51 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.81 inches, 112.0 cm2 (~83.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~386 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'MediaTek MT6873 Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57MP4',b'microSDXC',b'128GB 8GB RAM',b'IP5X',,"b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'",,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'","b'Fast charging 22.5W, 70% in 30 min (advertised)'","b'Black, Blue, Light Blue'",,b'TNNH-AN00',b'About 250 EUR',"b'64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'16 MP',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Play4 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/honor-play-4-pro.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, June 03'","b'Available. Released 2020, June 10'",b'162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in)',b'213 g (7.51 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.57 inches, 104.2 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~401 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 990 (7 nm)',b'Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55)',b'Mali-G76 MP16',b'No',b'128GB 8GB RAM',,,"b'LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30fps, 1080p@960fps, OIS, gyro-EIS'","b'40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, Laser AF, OIS, 3x optical zoom'",b'Panorama',"b'4K@30fps, 1080p@30fps, gyro-EIS'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, BDS'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4200 mAh, non-removable'","b'Fast charging 40W, 70% in 30 min (advertised) Reverse charging'","b'Black, Blue, Light Blue'",,b'OXP-AN00',b'About 360 EUR',,,,,,,,,,,,,"b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m 8 MP, (ultrawide)'",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor X10 5G',b'https://fdn2.gsmarena.com/vv/bigpic/honor-x10-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 38, 41, 77, 78, 79, 80, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat12 600/50 Mbps, 5G 2.3 Gbps DL'","b'2020, May 20'","b'Available. Released 2020, May 26'",b'163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in)',b'203 g (7.16 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, 90Hz'","b'6.63 inches, 106.1 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~397 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 820 5G (7nm)',b'Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G57 (6-core)',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'",b'CDMA2000 1xEV-DO',"b'40 MP, f/1.8, 26mm (wide), 1/1.7"", PDAF 8 MP, f/2.4, 17mm, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS'",,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",b'Fast charging 22.5W Reverse charging',"b'Blue, Orange, Black, Silver'",,b'TEL-TN00',b'About 250 EUR',,"b'Motorized pop-up 16 MP, f/2.2, 24mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,,,,,,,b'Glass front (Aluminosilicate glass)',,,,b'Aluminosilicate glass',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor V6',b'https://fdn2.gsmarena.com/vv/bigpic/honor-v6.jpg',b'LTE / 5G',b'N/A',b'N/A',b'LTE',b'SA/NSA',"b'LTE-A, 5G'","b'2020, May 19'","b'Available. Released 2020, June 15'",b'245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in)',b'480 g (1.06 lb)',b'No',b'IPS LCD',"b'10.4 inches, 307.9 cm2 (~81.1% screen-to-body ratio)'","b'1200 x 2000 pixels, 5:3 ratio (~224 ppi density)'",b'Stylus support',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'microSDXC',"b'64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM'",,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, GLONASS, BDS'",b'No',,b'No',b'USB Type-C 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 7250 mAh, non-removable'",,"b'Green, Silver, Black'",,"b'KRJ-W09, KRJ-AN00'",b'About 280 EUR',,"b'13 MP, f/1.8, (wide), AF'",,,,,,b'No',b'No',,,"b'8 MP, f/2.2, (wide)'",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 9A',b'https://fdn2.gsmarena.com/vv/bigpic/honor-9a.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, April 29'","b'Available. Released 2020, May 04'",b'159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.3 inches, 95.8 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~278 ppi density)'",b'eMMC 5.1',"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Mediatek MT6762R Helio P22 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'64GB 3GB RAM',,"b'13 MP, f/1.8, (wide), PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes (market/region dependent)',,b'FM radio; built-in antenna',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Black, Blue, Green'",,b'MOA-LX9N',b'About 150 EUR',,"b'8 MP, f/2.0, (wide)'",,,,b'-26.2 LUFS (Good)',,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 9C',b'https://fdn2.gsmarena.com/vv/bigpic/honor-9c.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, April 29'","b'Available. Released 2020, May 04'",b'159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)',b'176 g (6.21 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.39 inches, 100.2 cm2 (~82.4% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)'",,"b'Android 10, EMUI 10.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Black, Blue'",,b'AKA-L29',b'About 160 EUR',,"b'8 MP, f/2.0, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 9S',b'https://fdn2.gsmarena.com/vv/bigpic/honor-9s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, April 29'","b'Available. Released 2020, May 04'",b'146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in)',b'144 g (5.08 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Mediatek MT6762R Helio P22 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 3020 mAh, non-removable'",,"b'Black, Blue, Red'",,b'DUA-LX9',b'About 90 EUR',,"b'8 MP, f/2.0, (wide), AF'",,,,,,,,,,"b'5 MP, f/2.2'",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 9X Lite',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9x-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, April 17'","b'Available. Released 2020, May 14'",b'160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 103.2 cm2 (~84.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)'",,"b'Android 9.0 (Pie), EMUI 9.1, Google Play Services'",b'Kirin 710F (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (depth)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes (market/region dependent)',,b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 3750 mAh, non-removable'",b'Charging 10W',"b'Emerald Green, Midnight Black'",,"b'JSN-L21, JSN-L22, JSN-L23'",b'$\xe2\x80\x89164.99 / \xe2\x82\xac\xe2\x80\x89149.99 / \xc2\xa3\xe2\x80\x89129.99',,"b'8 MP, f/2.0, (wide)'",,,,,,,,,,,,,b'$\xe2\x80\x89164.99',,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 30 Pro+',b'https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro-plus.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, April 15'","b'Available. Released 2020, April 21'",b'160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in)',b'190 g (6.70 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 90Hz'","b'6.57 inches, 106.0 cm2 (~89.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)'",b'Water-repellent coating',"b'Android 10, Magic UI 3, no Google Play Services'",b'Kirin 990 5G (7 nm+)',b'Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)',b'Mali-G76 MP16',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'256GB 8GB RAM, 256GB 12GB RAM'",b'UFS',,"b'LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS'","b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m 8 MP, f/2.2, (ultrawide)'",b'HDR',"b'4K, 1080p; gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'Yes',b'No',"b'USB Type-C 3.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 40W Fast wireless charging 27W Reverse charging 5W',"b'Titanium silver, Emerald Green, Midnight Black'",,b'EBG-AN10',b'$\xe2\x80\x89779.99',"b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom 16 MP, f/2.2, 18mm (ultrawide),\xc2\xa0AF 2 MP, (depth)'",,b'AnTuTu: 510031 (v8) GeekBench: 3191 (v5.1) GFXBench: 37fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-23.8 LUFS (Very good)',b'Endurance rating 99h',,,"b'Glass front, glass back, aluminum frame'",,,,,,b'$\xe2\x80\x89779.99',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 30 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'","b'1, 3, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, April 15'","b'Available. Released 2020, April 21'",b'160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in)',b'186 g (6.56 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'OLED',"b'6.57 inches, 106.0 cm2 (~89.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)'",b'IP54 splash proof',"b'Android 10, Magic UI 3, no Google Play Services'",b'Kirin 990 5G (7 nm+)',b'Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)',b'Mali-G76 MP16',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS',,"b'LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS'","b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m 8 MP, f/2.2, (ultrawide)'",b'HDR',"b'4K, 1080p; gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'Yes',b'No',"b'USB Type-C 3.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 40W Reverse charging 5W',"b'Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple'",,b'EBG-AN00',b'$\xe2\x80\x89666.59',"b'40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom 16 MP, f/2.2, 18mm (ultrawide) 2 MP, (depth)'",,,,,,,,,"b'Glass front, glass back, aluminum frame'",,,,,,b'$\xe2\x80\x89714.99',b'$\xe2\x80\x89666.59',,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
