Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Models,Price,Dual,5G bands,Quad,Charging,128GB 6GB RAM,_1,_1_1,64GB 4GB RAM,64GB 3GB RAM,Build,Protection,Features_1,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,Talk time,Infrared port,32GB 4GB RAM,Stand-by_1,Talk time_1,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 17 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A; 5G'","b'2020, May 08'","b'Available. Released 2020, May 11'",b'160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in)',b'219 g (7.72 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 120Hz, HDR10+, 700 nits (typ)'","b'6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)'","b'Android 10, Flyme 8.1'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'",b'CDMA 800 & TD-SCDMA',,"b'5-LED dual-tone flash, Auto-HDR, panorama'","b'4K@30/60fps, 1080p; gyro-EIS'","b'20 MP, f/2.2, (wide), 0.8\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'","b'Mint, Black, White'",,b'About 560 EUR',,"b'41, 78, 79 SA/NSA'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 79mm (telephoto), 1.0\xc2\xb5m, PDAF 32 MP, f/2.2, 15mm, 129\xcb\x9a (ultrawide), 1/2.8"", 0.8\xc2\xb5m 0.3 MP, TOF 3D, f/1.4, (depth)'","b'Fast charging 30W, 45% in 30 min (advertised) Fast wireless charging 27W Quick Charge 3.0'",,b'UFS 3.1',,,,"b'Glass front, ceramic back, ceramic frame'",,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 17',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m17.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A; 5G'","b'2020, May 08'","b'Available. Released 2020, May 11'",b'160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 120Hz, HDR10+, 700 nits (typ)'","b'6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)'","b'Android 10, Flyme 8.1'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA 800 & TD-SCDMA',,"b'5-LED dual-tone flash, Auto-HDR, panorama'","b'4K@30/60fps, 1080p; gyro-EIS'","b'20 MP, f/2.2, (wide), 0.8\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'","b'Green, Gray, Aurora White'",,b'About 530 EUR',,"b'41, 78, 79 SA/NSA'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF 8 MP, f/2.2, 16mm, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/1.9, (macro)'","b'Fast charging 30W, 45% in 30 min (advertised) Quick Charge 3.0'",,b'UFS 3.1',,,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 16T',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps'","b'2019, October'","b'Available. Released 2019, October'",b'159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in)',b'183 g (6.46 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ)'","b'6.5 inches, 106.3 cm2 (~85.2% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)'","b'Android 9.0 (Pie), Flyme 8'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA 800 & TD-SCDMA',"b'12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF 8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m, PDAF 5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'",b'4K@30/60fps',"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'","b'Orange, Blue, Green'",,b'About 250 EUR',,,,b'Fast charging 18W mCharge',,b'UFS 3.0',,,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu M10',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-m10.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - Global',"b'1, 2, 3, 5, 7, 8, 20, 40 - Global'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, September'","b'Available. Released 2019, October'",b'164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ)'","b'6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 9.0 (Pie), Flyme 8'",b'Mediatek MT6757T Helio P25 (16 nm)',b'Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)',b'Mali-T880MP2',b'No',"b'32GB 2GB RAM, 32GB 3GB RAM'",b'CDMA 800',"b'13 MP, f/2.0, (wide), PDAF 2 MP, f/2.2 2 MP, f/2.2'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Phantom Black, Purplish Red, Sea Blue'",,b'About 180 EUR',,,,,,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM',"b'1, 2, 3, 4, 5, 7, 8, 28, 40 - LATAM'",,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 16s Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16s-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, August'","b'Available. Released 2019, August'",b'151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in)',b'166 g (5.86 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.2 inches, 95.8 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), Flyme 8'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA 800 & TD-SCDMA',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 20MP, f/2.6, (telephoto), 1/2.8"", 1.0\xc2\xb5m, PDAF 16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0\xc2\xb5m'","b'Six-LED dual-tone flash, Auto-HDR, panorama'","b'4K@30/60fps, 1080p@30fps (gyro-EIS)'","b'20MP, f/2.2'",b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3600 mAh, non-removable'","b'Twilight Forest, Dream Unicorn, Black Mirror, White story'",,b'About 340 EUR',,,,b'Fast charging 24W mCharge',,b'UFS 3.0',,,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 16Xs',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, May'","b'Available. Released 2019, June'",b'152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.2 inches, 95.8 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), Flyme'",b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',b'No',"b'64GB 6GB RAM, 128GB 6GB RAM'",b'CDMA 800 & TD-SCDMA',"b'48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2 5 MP, f/1.9, (depth)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps (gyro-EIS)'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Carbon Black, Pearl White, Phantom Blue'",,b'About 220 EUR',,,,b'Fast charging 24W mCharge',,,,,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu 16s',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 40'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'6.2 inches, 97.2 cm2 (~87.2% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)'","b'Android 9.0 (Pie), Flyme 7.3'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA 800 & TD-SCDMA',,"b'Six-LED dual-tone flash, Auto-HDR, panorama'","b'4K@30fps, 1080p@30fps (gyro-EIS)'","b'20MP, f/2.2'",b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, BDS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3600 mAh, non-removable'","b'Carbon Black, Pearl White, Phantom Blue'",,b'About 420 EUR',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 20MP, f/2.6, (telephoto), PDAF'",,,b'Fast charging 24W mCharge',,b'UFS 2.1',,,,,,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu Note 9',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, March'","b'Available. Released 2019, March'",b'153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 96.4 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), Flyme 7.2'",b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',b'No',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM'",b'CDMA 800 & TD-SCDMA',,"b'Dual-LED dual-tone flash, panorama'",b'1080p@30fps',"b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'","b'Black, White, Starlight Blue'",,b'About 200 EUR',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (depth)'",,,b'Fast charging 18W mCharge',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu C9 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 40'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2018, December'","b'Available. Released 2018, December'",b'146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IGZO IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'","b'Android 8.0 (Oreo), Flyme UI'",b'Unisoc SC9832E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820MP1',b'microSDXC',b'32GB 3GB RAM',,,"b'LED flash, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, removable'","b'Black, Gold'",,b'About 110 EUR',,,,,,,,,,,,,,,,,,,,,,,,,"b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu Zero',b'https://fdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps'","b'2019, January'",b'Cancelled',b'-',b'-',b'eSIM',b'AMOLED',"b'5.99 inches, 88.1 cm2'","b'1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver)',b'Adreno 630',b'No',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'",b'CDMA 800 & TD-SCDMA',,"b'Dual-LED dual-tone flash, panorama'","b'4K@30fps, 1080p@30fps'","b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',b'No',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion, non-removable'","b'Black, White'",,,"b'12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55\xc2\xb5m, PDAF 20 MP, PDAF'",,,b'Wireless charging 18W',,b'IP68',,,,"b'Glass front, ceramic back, ceramic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
