Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Stand-by,Talk time,Colors,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,_1_1,Price,4G bands,Quad,Charging,Models,64GB 4GB RAM,128GB 4GB RAM,Build,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Browser,Infrared port,Alert types,Languages,Clock,Alarm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 5.4',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-54-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - International',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, December 15'","b'Available. Released 2020, December 25'",b'161 x 76 x 8.7 mm (6.34 x 2.99 x 0.34 in)',b'181 g (6.38 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.39 inches, 100.2 cm2 (~81.9% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)'",b'Android 10',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM'","b'16 MP, f/2.0, (wide)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, aptX Adaptive'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",,,"b'Polar Night, Dusk'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - NA, LATAM'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 66 - NA, LATAM'",,,,,,,,,,b'$\xe2\x80\x89249.99 / \xe2\x82\xac\xe2\x80\x89209.99 / \xc2\xa3\xe2\x80\x89159.00',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International'","b'48 MP, f/1.8, (wide), PDAF 5 MP, 13mm (ultrawide) 2 MP, (macro) 2 MP, (depth)'",b'Charging 10W',"b'TA-1333, TA-1340'",b'$\xe2\x80\x89249.99',b'\xe2\x82\xac\xe2\x80\x89209.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia C1 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-c1-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',"b'HSDPA 850 / 900 / 2100 - International, APAC'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, December 15'","b'Available. Released 2021, January 29'",b'149.1 x 71.2 x 8.8 mm (5.87 x 2.80 x 0.35 in)',b'146 g (5.15 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~72.2% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~197 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.4 GHz',,b'microSDXC (dedicated slot)',b'16GB 1GB RAM',b'5 MP',"b'LED flash, HDR'",b'720p@30fps',b'5 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2500 mAh, removable'",,,"b'Blue, Red'",b'HSDPA 850 / 1700(AWS) / 1900 / 900 - LATAM',b'HSDPA 900 / 2100 - Saudi Arabia',,,,,,,,,b'eMMC 5.1',b'About 70 EUR',"b'1, 3, 7, 8, 20, 28 - International'",,,b'TA-1312',,,"b'Glass front, plastic back, plastic frame'","b'LED flash, HDR'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 8000 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-8800-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2020, November 13'","b'Available. Released 2021, January 06'",b'132.2 x 56.5 x 12.3 mm (5.20 x 2.22 x 0.48 in)',b'110.2 g (3.88 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 16M colors'","b'2.8 inches, 24.3 cm2 (~32.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'microSDHC',b'4GB 512MB RAM',b'2 MP',b'LED flash',b'',,,b'Yes',b'Yes',"b'Yes, hotspot'",b'Yes',"b'Yes, with A-GPS'",,b'FM radio',b'microUSB',b'',b'Removable Li-Ion 1500 mAh battery',,,"b'Onyx/Black, Opal/White, Topaz/Blue, Cintrine/Gold'",b'No',,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x8987.27 / \xc2\xa3\xe2\x80\x8978.20',b'LTE (unspecified)',,,b'TA-1303',,,"b'Plastic frame, plastic back'",,b'\xe2\x82\xac\xe2\x80\x8987.27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 6300 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-6300-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2020, November 13'","b'Available. Released 2021, January 06'",b'131.4 x 53 x 13.7 mm (5.17 x 2.09 x 0.54 in)',b'104.7 g (3.70 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 16M colors'","b'2.4 inches, 17.8 cm2 (~25.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'microSDHC',b'4GB 512MB RAM',b'VGA',b'LED flash',b'',,,b'Yes',b'Yes',"b'Yes, hotspot'",b'Yes',"b'Yes, with A-GPS'",,b'FM radio',b'microUSB',b'',b'Removable Li-Ion 1500 mAh battery',,,"b'Light Charcoal, White, Cyan Green'",b'No',,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x8969.90 / \xc2\xa3\xe2\x80\x8959.99',b'LTE (unspecified)',,,b'TA-1294',,,"b'Plastic frame, plastic back'",,b'\xe2\x82\xac\xe2\x80\x8969.90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 8 V 5G UW',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-8-v-5g-uw.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat18 1200/150 Mbps, 5G 2.4/1.2 Gbps'","b'2020, November 09'","b'Available. Released 2020, November 12'",b'171.9 x 78.6 x 9 mm (6.77 x 3.09 x 0.35 in)',b'230 g (8.11 oz)',b'Pre-installed Nano-SIM',b'IPS LCD',"b'6.81 inches, 112.0 cm2 (~82.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~386 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC',b'64GB 6GB RAM',"b'24 MP, f/2.0, (wide), 1/2.8"", 0.9\xc2\xb5m'","b'Zeiss optics, Dual-LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/240fps, 720p@960fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",,,b'Meteor Gray',,,,,,,,,,,,b'About 700 USD',"b'1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 28, 46, 66'","b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 12 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/2.43"", 1.4\xc2\xb5m, AF 2 MP, (macro) 2 MP, (depth)'",b'Fast charging 18W',,,,,"b'Zeiss optics, HDR'",,"b'2, 5, 66, 260, 261 Sub6/mmWave'",b'Corning Gorilla Glass',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 2 V Tella',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-2-v-tella.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps'","b'2020, October 21'","b'Available. Released 2020, October 21'",b'150.6 x 71.6 x 9.1 mm (5.93 x 2.82 x 0.36 in)',b'180 g (6.35 oz)',b'Nano-SIM',b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~71.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 10',b'Mediatek MT6761 Helio A22 (16 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',b'16GB 2GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Accelerometer, proximity'","b'Li-Po 3000 mAh, removable'",,,b'Blue',b'eMMC 5.1',,,,,,,,,,,b'About 140 EUR',b'LTE',,b'Charging 10W',,,,"b'Glass front, plastic back, plastic frame'",,,,,"b'8 MP, AF 2 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 225 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-225-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - International',"b'HSPA, LTE'","b'2020, October 10'","b'Available. Released 2020, October 17'",b'124.7 x 51 x 13.7 mm (4.91 x 2.01 x 0.54 in)',b'90.1 g (3.17 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~28.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Unisoc UMS9117',,,b'microSDHC',b'128MB 64MB RAM',b'0.3 MP',,b'',,,b'Yes',b'Yes',b'No',b'5.0',b'No',b'No',"b'FM radio, built-in antenna'",b'microUSB 2.0',b'',"b'Li-Ion 1150 mAh, removable'",,,"b'Black, Classic Blue, Metallic Sand'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - NA, LATAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - MENA, AU, NZ, PHI, HK, TW, NG, TZ'",,,b'Yes',b'Yes',"b'SMS(threaded view), MMS, IM'",b'Yes',b'',,b'MP3 player',"b'\xc2\xa3\xe2\x80\x8944.99 / \xe2\x82\xb9\xe2\x80\x893,539'","b'1, 3, 5, 7, 8, 20, 38, 40 - EU, APAC, SSA'",,,"b'TA-1321, TA-1296, TA-1279, TA-1276'",,,,,,,,,b'1.41 W/kg (head) \xc2\xa0 \xc2\xa0 1.34 W/kg (body)',b'1.63 W/kg (head) \xc2\xa0 \xc2\xa0 1.79 W/kg (body)',b'\xc2\xa3\xe2\x80\x8944.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 215 4G',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-215-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - International',"b'HSPA, LTE'","b'2020, October 10'","b'Available. Released 2020, October 17'",b'124.7 x 51 x 13.7 mm (4.91 x 2.01 x 0.54 in)',b'90.3 g (3.17 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~28.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Unisoc UMS9117',,,b'microSDHC',b'128MB 64MB RAM',,,,,,b'Yes',b'Yes',b'No',b'5.0',b'No',b'No',"b'FM radio, built-in antenna'",b'microUSB 2.0',b'',"b'Li-Ion 1150 mAh, removable'",,,"b'Black, Cyan Green'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - NA, LATAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - MENA, AU, NZ, PHI, HK, TW, NG, TZ'",,,b'Yes',b'Yes',"b'SMS(threaded view), MMS, IM'",b'Yes',b'',,b'MP3 player',"b'$\xe2\x80\x8969.95 / \xe2\x82\xb9\xe2\x80\x893,221'","b'1, 3, 5, 7, 8, 20, 38, 40 - EU, APAC, SSA'",,,"b'TA-1284, TA-1281, TA-1272, TA-1264'",,,,,,,,,b'1.14 W/kg (head) \xc2\xa0 \xc2\xa0 1.35 W/kg (body)',b'1.63 W/kg (head) \xc2\xa0 \xc2\xa0 1.79 W/kg (body)',b'$\xe2\x80\x8969.95',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nokia',b'Nokia 3.4',b'https://fdn2.gsmarena.com/vv/bigpic/nokia-34.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 22'","b'Available. Released 2020, October 26'",b'161 x 76 x 8.7 mm (6.34 x 2.99 x 0.34 in)',b'180 g (6.35 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.39 inches, 100.2 cm2 (~81.9% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)'","b'Android 10, planned upgrade to Android 11'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'","b'8 MP, (wide)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",,,"b'Fjord, Dusk, Charcoal'",b'eMMC 5.1',,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x89138.98 / \xc2\xa3\xe2\x80\x89115.99',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 28, 66'",,b'Charging 10W',"b'TA-1288, TA-1285, TA-1283'",b'\xe2\x82\xac\xe2\x80\x89162.73',,,,,,,,b'0.83 W/kg (head) \xc2\xa0 \xc2\xa0 1.05 W/kg (body)',b'0.36 W/kg (head) \xc2\xa0 \xc2\xa0 1.56 W/kg (body)',,"b'13 MP, (wide), PDAF 5 MP, (ultrawide) 2 MP, (depth)'",b'\xe2\x82\xac\xe2\x80\x89161.74',b'\xe2\x82\xac\xe2\x80\x89138.98',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
