Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Stand-by,Talk time,Colors,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,_1_1,Price,4G bands,Quad,Charging,Models,64GB 4GB RAM,128GB 4GB RAM,Build,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Browser,Infrared port,Alert types,Languages,Clock,Alarm,256GB 12GB RAM,256GB 8GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus Nord N10 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n10-5g-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1024/150 Mbps, 5G'","b'2020, October 26'","b'Available. Released 2020, November 21'",b'163 x 74.7 x 9 mm (6.42 x 2.94 x 0.35 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.49 inches, 101.7 cm2 (~83.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~406 ppi density)'","b'Android 10, OxygenOS 10.5'",b'Qualcomm SM6350 Snapdragon 690 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver)',b'Adreno 619L',b'microSDXC',b'128GB 6GB RAM',"b'16 MP, f/2.1'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS'",,"b'1080p@30/60fps, gyro-EIS'","b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",,,b'Midnight Ice',b'CDMA 800 / 1900',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71 - USA'",,,,,,,,,b'UFS 2.1',b'$\xe2\x80\x89209.00 / \xc2\xa3\xe2\x80\x89395.16',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41, 66 - International'","b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'",b'Fast charging 30W',b'BE2029',,,"b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",b'HDR',,"b'1, 3, 7, 28, 41, 66, 78 SA/NSA - International'",b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,b'AnTuTu: 279579 (v8) GeekBench: 1848 (v5.1) GFXBench: 13fps (ES 3.1 onscreen)',,b'Photo / Video',b'-25.8 LUFS (Very good)',,b'Endurance rating 99h',b'$\xe2\x80\x89209.00',,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus Nord N100',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n100-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat13 400/50 Mbps'","b'2020, October 26'","b'Available. Released 2020, November 11'",b'164.9 x 75.1 x 8.5 mm (6.49 x 2.96 x 0.33 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, OxygenOS 10.5'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC',b'64GB 4GB RAM',"b'8 MP, f/2.0'","b'LED flash, HDR, panorama'","b'1080p@30fps, gyro-EIS'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",,b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,,b'Midnight Frost',b'CDMA 800',b'UFS 2.1',,,,,,,,,,b'$\xe2\x80\x89153.99 / \xc2\xa3\xe2\x80\x89129.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41'",,b'Fast charging 18W',,b'$\xe2\x80\x89153.99',,"b'Glass front (Gorilla Glass 3), plastic frame'",b'HDR',,,b'Corning Gorilla Glass 3',,,,,"b'13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 8T',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8t.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/200 Mbps, 5G 7.5 Gbps DL'","b'2020, October 14'","b'Available. Released 2020, October 16'",b'160.7 x 74.1 x 8.4 mm (6.33 x 2.92 x 0.33 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 120Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~87.0% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 11, OxygenOS 11.0.4'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'16 MP, f/2.4, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (market dependant)'","b'Li-Po 4500 mAh, non-removable'",,,"b'Aquamarine Green, Lunar Silver, Cyberpunk 2077 Edition'",b'CDMA 800 / 1900 & TD-SCDMA',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71 - NA'",,,,,,,,,b'UFS 3.1',"b'$\xe2\x80\x89629.00 / \xe2\x82\xac\xe2\x80\x89555.79 / \xc2\xa3\xe2\x80\x89544.48 / \xe2\x82\xb9\xe2\x80\x8942,999'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 66 - EU'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 16 MP, f/2.2, 14mm, 123\xcb\x9a (ultrawide), 1/3.6"", 1.0\xc2\xb5m 5 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Fast charging 65W, 100% in 39 min (advertised)'","b'KB2001, KB2000, KB2003, KB2005'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'1, 3, 7, 28, 41, 78 SA/NSA - EU'",b'Corning Gorilla Glass 5',,,,,,,,,,b'$\xe2\x80\x89649.29',,,,,b'AnTuTu: 58600 (v8) GeekBench: 3126 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-24.0 LUFS (Very good)',,b'Endurance rating 104h',,,,,,,,,,,,,,,b'$\xe2\x80\x89630.85',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 8T+ 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8t.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/200 Mbps, 5G 7.5 Gbps DL'","b'2020, October 14'","b'Available. Released 2020, October 16'",b'160.7 x 74.1 x 8.4 mm (6.33 x 2.92 x 0.33 in)',b'-',b'Nano-SIM',"b'Fluid AMOLED, 120Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~87.0% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 11, OxygenOS 11'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',b'256GB 12GB RAM',"b'16 MP, f/2.4, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (market dependant)'","b'Li-Po 4500 mAh, non-removable'",,,"b'Aquamarine Green, Lunar Silver'",b'CDMA 800 / 1700 / 1900',"b'IP68 dust/water resistant (not for use underwater, liquid damage is not covered under warranty)'",,,,,,,,,b'UFS 3.1',b'About 750 USD',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 16 MP, f/2.2, 14mm, 123\xcb\x9a (ultrawide), 1/3.6"", 1.0\xc2\xb5m 5 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Fast charging 65W, 100% in 39 min (advertised)'",b'KB2007',,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'2, 25, 41, 66, 71 Sub6/mmWave'",b'Corning Gorilla Glass 5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus Nord',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G'","b'2020, July 21'","b'Available. Released 2020, August 04'",b'158.3 x 73.3 x 8.2 mm (6.23 x 2.89 x 0.32 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.44 inches, 100.6 cm2 (~86.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~408 ppi density)'","b'Android 10, OxygenOS 10.5.9'",b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'No',"b'64GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM'",,"b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/240fps, gyro-EIS'",,"b'4K@30/60fps, 1080p@30/60fps'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, SBAS, NavIC'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4115 mAh, non-removable'",,,"b'Blue Marble, Gray Onyx'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 38, 39, 40, 41, 46 - India'",b'78 - India',,,,,,,,,b'UFS 2.1',b'$\xe2\x80\x89217.99 / \xe2\x82\xac\xe2\x80\x89395.79 / \xc2\xa3\xe2\x80\x89370.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - Europe'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.3, 119\xcb\x9a (ultrawide) 5 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'","b'Fast charging 30W, 70% in 30 min'","b'AC2001, AC2003'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame'",b'HDR',,"b'1, 3, 7, 28, 78 - Europe'",b'Corning Gorilla Glass 5',"b'32 MP, f/2.5, (wide), 1/2.8"", 0.8\xc2\xb5m 8 MP, f/2.5, 105\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m'",,,,,,,,,b'$\xe2\x80\x89399.99',b'$\xe2\x80\x89217.99',,,,"b'AnTuTu: 315641 (v8) GeekBench: 7844 (v4.4), 1953 (v5.1) GFXBench: 19fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-29.6 LUFS (Average)',,b'Endurance rating 100h',,,,,,,,,,,,,,,b'$\xe2\x80\x89429.99',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 8 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-pro.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL'","b'2020, April 14'","b'Available. Released 2020, April 21'",b'165.3 x 74.4 x 8.5 mm (6.51 x 2.93 x 0.33 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 1B colors, 120Hz, HDR10+'","b'6.78 inches, 111.7 cm2 (~90.8% screen-to-body ratio)'",b'1440 x 3168 pixels (~513 ppi density)',"b'Android 10, upgradable to Android 11, OxygenOS 11'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'16 MP, f/2.5, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4510 mAh, non-removable'",,,"b'Glacial Green, Ultramarine Blue, Onyx Black'",b'CDMA 800 / 1900 & TD-SCDMA',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71 - NA'",,,,,,,,,b'UFS 3.0',b'$\xe2\x80\x89699.00 / \xe2\x82\xac\xe2\x80\x89725.79 / \xc2\xa3\xe2\x80\x89611.55',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 46, 66 - EU'","b'48 MP, f/1.8, 25mm (wide), 1/1.43"", 1.12\xc2\xb5m, omnidirectional PDAF, Laser AF, OIS 8 MP, f/2.4, (telephoto), 1/1.0\xc2\xb5m, PDAF, OIS, 3x optical zoom 48 MP, f/2.2, 14mm, 116\xcb\x9a (ultrawide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (Color filter camera)'","b'Fast charging 30W, 50% in 23 min (advertised) Fast wireless charging 30W, 50% in 30 min (advertised) Reverse wireless charging 3W'","b'IN2023, IN2020, IN2021, IN2025'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'1, 3, 7, 28, 78 SA/NSA - EU'",b'Corning Gorilla Glass 5',,,,,,,,,,b'$\xe2\x80\x89749.99',,,,,b'AnTuTu: 573276 (v8) GeekBench: 3374 (v5.1) GFXBench: 24fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-23.5 LUFS (Very good)',,b'Endurance rating 103h',,,,,,,,,,,,,,,b'$\xe2\x80\x89814.89',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 8',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL'","b'2020, April 14'","b'Available. Released 2020, April 21'",b'160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 10, upgradable to Android 11, OxygenOS 11'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM'","b'16 MP, f/2.4, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",,,"b'Onyx Black, Glacial Green, Interstellar Glow, Polar Silver'",b'CDMA 800 / 1900 & TD-SCDMA',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71 - NA'",,,,,,,,,"b'UFS 3.0, 2-LANE'",b'$\xe2\x80\x89435.00 / \xe2\x82\xac\xe2\x80\x89559.00 / \xc2\xa3\xe2\x80\x89520.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 46, 66 - EU'",,"b'Fast charging 30W, 50% in 22 min (advertised)'","b'IN2013, IN2017'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'1, 3, 7, 28, 78 SA/NSA - EU'",b'Corning Gorilla Glass 5',,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 16 MP, f/2.2, 14mm, 116\xcb\x9a (ultrawide), 1/3.6"", 1.0\xc2\xb5m 2 MP, f/2.4, (macro)'",,,,,b'$\xe2\x80\x89435.00',,,,,"b'AnTuTu: 564708 (v8) GeekBench: 13291 (v4.4), 3399 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-22.5 LUFS (Excellent)',,b'Endurance rating 108h',,,,,,,,,,,,,,,b'$\xe2\x80\x89599.99',
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
