Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Stand-by,Talk time,Colors,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,_1_1,Price,4G bands,Quad,Charging,Models,64GB 4GB RAM,128GB 4GB RAM,Build,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Browser,Infrared port,Alert types,Languages,Clock,Alarm,256GB 12GB RAM,256GB 8GB RAM
b'oneplus',b'OnePlus 8 5G UW (Verizon)',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-uw.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL'","b'2020, April 14'","b'Available. Released 2020, April 29'",b'160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in)',b'180 g (6.35 oz)',b'Pre-installed Nano-SIM',"b'Fluid AMOLED, 90Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 10, OxygenOS 10.0'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',b'128GB 8GB RAM',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",,,"b'Onyx Black, Polar Silver'",b'IP68 dust/water resistant (up to 2m for 60 mins)',"b'UFS 3.0, 2-LANE'",,,,,,,,,,b'About 740 EUR',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 38, 39, 40, 41, 46, 48, 66, 71'",,"b'Fast charging 30W, 50% in 22 min (advertised)'",,,,"b'Glass front, glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'2, 5, 66, 260, 261 mmWave'",,,b'1.10 W/kg (head) \xc2\xa0 \xc2\xa0 1.10 W/kg (body)',,,"b'48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 16 MP, f/2.2, 14mm, 116\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 8 5G (T-Mobile)',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-t-mobile.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL'","b'2020, April 14'","b'Available. Released 2020, April 29'",b'160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in)',b'180 g (6.35 oz)',b'Nano-SIM',"b'Fluid AMOLED, 90Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 10, OxygenOS 10.0'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',b'128GB 8GB RAM',"b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",,,"b'Onyx Black, Interstellar Glow'",b'CDMA 800 / 1700 / 1900',b'CDMA2000 1xEV-DO',,,,,,,,,"b'UFS 3.0, 2-LANE'",b'About 650 EUR',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 41, 46, 48, 66, 71'",,"b'Fast charging 30W, 50% in 22 min (advertised)'",,,,"b'Glass front, glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,"b'2, 5, 41, 66, 71 SA/NSA'",,,b'1.10 W/kg (head) \xc2\xa0 \xc2\xa0 1.10 W/kg (body)',,,"b'48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 16 MP, f/2.2, 14mm, 116\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7T Pro 5G McLaren',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro-5g-mclaren-edition-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)'","b'2019, October 23'","b'Available. Released 2019, November 05'",b'162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)'","b'1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)'","b'Android 10, OxygenOS 10.0'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',b'256GB 12GB RAM',"b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4085 mAh, non-removable'",,,b'Papaya Orange',b'CDMA 800 / 1900 & TD-SCDMA',b'UFS 3.0',,,,,,,,,,b'About 800 EUR',"b'1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71'",,b'Fast charging 30W Warp Charge',b'HD1925',,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,b'71 SA',b'Corning Gorilla Glass 6',,,,,"b'48 MP, f/1.6, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF, OIS 8 MP, f/2.4, (telephoto), 1.0\xc2\xb5m, PDAF, OIS, 3x optical zoom 16 MP, f/2.2, 13mm (ultrawide), AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7T Pro',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, October 10'","b'Available. Released 2019, October 12'",b'162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)'","b'1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)'","b'Android 10, OxygenOS 10.0.4'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',"b'256GB 8GB RAM, 256GB 12GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4085 mAh, non-removable'",,,"b'Haze Blue, McLaren Edition'",b'CDMA 800 / 1900 & TD-SCDMA',b'12GB RAM - McLaren Edition only UFS 3.0',,,,,,,,,,b'$\xe2\x80\x89545.00 / \xe2\x82\xac\xe2\x80\x89768.06 / \xc2\xa3\xe2\x80\x89619.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66'",,b'Fast charging 30W Warp Charge',"b'HD1911, HD1913, HD1910'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,,b'Corning Gorilla Glass 5',,,,,"b'48 MP, f/1.6, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF, OIS 8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS 16 MP, f/2.2, 17mm (ultrawide), AF'",,,,,,,,,,"b'AnTuTu: 395868 (v7), 493901 (v8) GeekBench: 11246 (v4.4), 2803 (v5.1) GFXBench: 24fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 90dB / Noise 75dB / Ring 82dB',b'Noise -93.7dB / Crosstalk -91.0dB',b'Endurance rating 100h',,,,,,,,,,,,,,,b'$\xe2\x80\x89545.00',b'$\xe2\x80\x89604.99'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7T',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, September 26'","b'Available. Released 2019, September 27'",b'160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.55 inches, 103.6 cm2 (~86.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~402 ppi density)'","b'Android 10, OxygenOS 10.0.7'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3800 mAh, non-removable'",,,"b'Frosted Silver, Glacier Blue, White'",b'CDMA 800 / 1900 & TD-SCDMA',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 41, 46, 48, 66, 71 - NA'",,,,,,,,,b'UFS 3.0',b'$\xe2\x80\x89369.99 / \xe2\x82\xac\xe2\x80\x89499.95 / \xc2\xa3\xe2\x80\x89409.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66 - EU'",,b'Fast charging 30W Warp Charge 30T',"b'HD1901, HD1903, HD1900, HD1907, HD1905'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,,b'Corning Gorilla Glass 5',,,,,"b'48 MP, f/1.6, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 12 MP, f/2.2, 51mm (telephoto), 1.0\xc2\xb5m, PDAF, 2x optical zoom 16 MP, f/2.2, 17mm (ultrawide), AF'",,,,,b'$\xe2\x80\x89369.99',,,,,"b'AnTuTu: 391545 (v7), 485585 (v8) GeekBench: 11394 (v4.4), 2858 (v5.1) GFXBench: 41fps (ES 3.1 onscreen)'",,b'Photo / Video',b'Voice 79dB / Noise 77dB / Ring 91dB',b'Noise -94.0dB / Crosstalk -93.6dB',b'Endurance rating 90h',,,,,,,,,,,,,,,,b'$\xe2\x80\x89524.99'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps; 5G (2+ Gbps DL)'","b'2019, May 14'","b'Available. Released 2019, September 06'",b'162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.67 inches, 109.2 cm2 (~88.5% screen-to-body ratio)'","b'1440 x 3120 pixels, 19.5:9 ratio (~515 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10.0.4'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED dual-tone flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,,"b'Mirror Grey, Almond, Nebula Blue'",b'UFS 3.0',,,,,,,,,,,b'About 800 EUR',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66'",,b'Fast charging 30W Warp Charge',b'GM1925',,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,b'41 NSA/Sub6/mmWave',b'Corning Gorilla Glass 5',,,,,"b'48 MP, f/1.6, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF, OIS 8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, OIS 16 MP, f/2.2, 13mm (ultrawide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, May 14'","b'Available. Released 2019, May 16'",b'162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Fluid AMOLED, 90Hz, HDR10+'","b'6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)'","b'1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)'","b'Android 9.0 (Pie), OxygenOS 10.0.5'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,,"b'Mirror Grey, Almond, Nebula Blue'",b'CDMA 800 / 1900 & TD-SCDMA',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 41, 46, 48, 66, 71 - North America'",,,,,,,,,b'UFS 3.0',"b'$\xe2\x80\x89549.99 / \xe2\x82\xac\xe2\x80\x89655.90 / \xc2\xa3\xe2\x80\x89519.00 / \xe2\x82\xb9\xe2\x80\x8949,999'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66 - Global'",,b'Fast charging 30W Warp Charge',"b'GM1911, GM1913, GM1917, GM1910, GM1915'",,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,,b'Corning Gorilla Glass 5',,,,,"b'48 MP, f/1.6, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF, OIS 8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS 16 MP, f/2.2, 17mm (ultrawide), AF'",,,,,,,,,,"b'AnTuTu: 364025 (v7) GeekBench: 10943 (v4.4), 2721 (v5.1) GFXBench: 19fps (ES 3.1 onscreen)'",,b'Photo / Video',b'-23.9 LUFS (Very good)',b'Noise -93.0dB / Crosstalk -89.6dB',b'Endurance rating 85h',"b'$\xe2\x80\x891,049.00'",,,,,,,,,,,,,,"b'$\xe2\x80\x891,359.00'",b'$\xe2\x80\x89549.99'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oneplus',b'OnePlus 7',b'https://fdn2.gsmarena.com/vv/bigpic/oneplus-7--.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps'","b'2019, May 14'","b'Available. Released 2019, June 04'",b'157.7 x 74.8 x 8.2 mm (6.21 x 2.94 x 0.32 in)',b'182 g (6.42 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Optic AMOLED, HDR10'","b'6.41 inches, 100.9 cm2 (~85.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10.0.5'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'","b'16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3700 mAh, non-removable'",,,"b'Mirror Gray, Red, Mirror Blue'",b'CDMA 800 / 1900 & TD-SCDMA',b'UFS 3.0',,,,,,,,,,b'\xc2\xa3\xe2\x80\x89522.40',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 32, 34, 38, 39, 40, 41'",,b'Fast charging 20W',"b'GM1901, GM1900, GM1905'",,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame'",b'Auto-HDR',,,b'Corning Gorilla Glass 6',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,b'AnTuTu: 367812 (v7) GeekBench: 11075 (v4.4) GFXBench: 36fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 68dB / Noise 73dB / Ring 82dB',,b'Endurance rating 102h',,,,,,,,,,,,,,,,b'\xc2\xa3\xe2\x80\x89522.40'
